metric_id,orientation,scope,provider,estimate,ci95_low,ci95_high,paired_persona_denominator,paired_persona_denominators,paired_persona_denominator_range,bootstrap_seed,bootstrap_resamples,undefined_resamples
conditional_answer_accuracy,control_minus_deficit,provider_equal_aggregate,aggregate,0.13444444444444445,0.09833333333333334,0.1738888888888889,,"{""doubao"": 50, ""kimi"": 50, ""tongyi"": 50}","[50, 50]",2026071503,10000,0
conditional_answer_accuracy,control_minus_deficit,provider,deepseek,,,,0,,,2026071503,10000,10000
conditional_answer_accuracy,control_minus_deficit,provider,glm,,,,0,,,2026071503,10000,10000
conditional_answer_accuracy,control_minus_deficit,provider,kimi,0.085,0.035,0.14,50,,,2026071503,10000,0
conditional_answer_accuracy,control_minus_deficit,provider,minimax,,,,0,,,2026071503,10000,10000
conditional_answer_accuracy,control_minus_deficit,provider,doubao,0.135,0.075,0.195,50,,,2026071503,10000,0
conditional_answer_accuracy,control_minus_deficit,provider,tongyi,0.18333333333333335,0.115,0.25333333333333335,50,,,2026071503,10000,0
correct_response_yield,control_minus_deficit,provider_equal_aggregate,aggregate,0.1416666666666667,0.10666666666666665,0.18000000000000002,,"{""doubao"": 50, ""kimi"": 50, ""tongyi"": 50}","[50, 50]",2026071503,10000,0
correct_response_yield,control_minus_deficit,provider,deepseek,0.0,0.0,0.0,50,,,2026071503,10000,0
correct_response_yield,control_minus_deficit,provider,glm,0.0,0.0,0.0,50,,,2026071503,10000,0
correct_response_yield,control_minus_deficit,provider,kimi,0.085,0.035,0.14,50,,,2026071503,10000,0
correct_response_yield,control_minus_deficit,provider,minimax,0.0,0.0,0.0,50,,,2026071503,10000,0
correct_response_yield,control_minus_deficit,provider,doubao,0.14,0.08,0.2,50,,,2026071503,10000,0
correct_response_yield,control_minus_deficit,provider,tongyi,0.2,0.135,0.265,50,,,2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider_equal_aggregate,aggregate,0.13166666666666668,0.09500000000000001,0.17166666666666666,,"{""doubao"": 50, ""kimi"": 50, ""tongyi"": 50}","[50, 50]",2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider,deepseek,0.0,0.0,0.0,50,,,2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider,glm,0.0,0.0,0.0,50,,,2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider,kimi,0.085,0.035,0.14,50,,,2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider,minimax,0.0,0.0,0.0,50,,,2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider,doubao,0.135,0.075,0.195,50,,,2026071503,10000,0
incorrect_response_yield,deficit_minus_control,provider,tongyi,0.175,0.105,0.25,50,,,2026071503,10000,0
abstention_yield,deficit_minus_control,provider_equal_aggregate,aggregate,0.01,0.0033333333333333335,0.018333333333333333,,"{""doubao"": 50, ""kimi"": 50, ""tongyi"": 50}","[50, 50]",2026071503,10000,0
abstention_yield,deficit_minus_control,provider,deepseek,0.0,0.0,0.0,50,,,2026071503,10000,0
abstention_yield,deficit_minus_control,provider,glm,0.0,0.0,0.0,50,,,2026071503,10000,0
abstention_yield,deficit_minus_control,provider,kimi,0.0,0.0,0.0,50,,,2026071503,10000,0
abstention_yield,deficit_minus_control,provider,minimax,0.0,0.0,0.0,50,,,2026071503,10000,0
abstention_yield,deficit_minus_control,provider,doubao,0.005,0.0,0.015,50,,,2026071503,10000,0
abstention_yield,deficit_minus_control,provider,tongyi,0.025,0.005,0.05,50,,,2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider_equal_aggregate,aggregate,0.0,0.0,0.0,,"{""doubao"": 50, ""kimi"": 50, ""tongyi"": 50}","[50, 50]",2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider,deepseek,0.0,0.0,0.0,50,,,2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider,glm,0.0,0.0,0.0,50,,,2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider,kimi,0.0,0.0,0.0,50,,,2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider,minimax,0.0,0.0,0.0,50,,,2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider,doubao,0.0,0.0,0.0,50,,,2026071503,10000,0
technical_or_schema_failure_yield,deficit_minus_control,provider,tongyi,0.0,0.0,0.0,50,,,2026071503,10000,0
